checkpoint,checkpoint_fingerprint,config_fingerprint,config_id,epoch,evaluation_split,phase,seed,selector_fingerprint,test_trace_opened,test_used_for_selection,valid_loss,weighted_access_cost,workload
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_3.pth,b6fceb52948620faa1b8589a340697f547866982fa4485b477907fedc9c5cc4c,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,3,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.14295797663430374,229857.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_4.pth,4e8bc780e9fd35dc4985c1d4416e2959ba201ca9d96274ea25033b15076f7cd9,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,4,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.1439037766555945,229648.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_5.pth,64dd440be56d8f505f648f67ebe0aab58bc2b0032485fbbb71a710619f21dd8a,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,5,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.1444749448696772,229549.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_6.pth,2cc43176bff9b6ca66f5915ce304a83112d2e64cae42106a727e8b054fc7e858,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,6,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.14495647596816222,229527.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_7.pth,17bcbf54404489f10cd1bc99ab9c833b1ca447af959a913f738f3b13068d87f9,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,7,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.1452720994502306,229329.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_8.pth,69306fcd3c6bb1f280738243f454b587fb0018016d308db0a8e3d67a2de89b68,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,8,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.14540532703200976,226722.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_9.pth,506253e463df3991ad0a33e0a48dae32e1871b5db67e623db0f048cabe523069,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,9,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.14573193003733953,226128.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_10.pth,c6038fe6456c4a758444a52187c5f5ac9ad5561dc75c62250c5fb957563018a7,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,10,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.14569218461712202,226073.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512_H20/seed_3136859/qmap_epoch_1.pth,1bcb72a122e18d0873589edd25f207ab5666ae1730ccc377fe55f8eda56749f2,587d8ce5f2eb9b0bb9fc381c67fe7a080bcde158b12f05fd223e4a4c5d7c7110,opt_B32_K16_L512_H20,1,valid,o2,3136859,4926bb569bf3f71b664c140e5dd0f91c488e583ef4eaf1c92405c2592fe143b2,False,False,-0.13563930928707124,230187.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512_H20/seed_3136859/qmap_epoch_2.pth,16a691c880a9bf223c04d31e47f1cf100075ae9699876d307ff4b889daec3a03,587d8ce5f2eb9b0bb9fc381c67fe7a080bcde158b12f05fd223e4a4c5d7c7110,opt_B32_K16_L512_H20,2,valid,o2,3136859,4926bb569bf3f71b664c140e5dd0f91c488e583ef4eaf1c92405c2592fe143b2,False,False,-0.13960584285358588,229978.0,canneal
