workload,source_trace_id,requested_ratio,D_base,D_guarded,effective_ratio,guard_applied,source_start_inclusive,source_end_exclusive,test_relative_start,test_relative_end,window_records,unique_pages,misses,lru_replacement_decisions,write_count,write_ratio,page_entry_count,selection_eligible,eligibility_reason,source_raw_sha256,source_split_sha256
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2700000,2800000,300000,400000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2710000,2810000,310000,410000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2720000,2820000,320000,420000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2730000,2830000,330000,430000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2740000,2840000,340000,440000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2750000,2850000,350000,450000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2760000,2860000,360000,460000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2770000,2870000,370000,470000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2780000,2880000,380000,480000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2790000,2890000,390000,490000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
