row_id,run_id,source_job_id,track,workload,policy,seed,cost_profile,dram_hit_weight,nvm_read_weight,nvm_write_weight,demotion_weight,dram_hits,nvm_reads,nvm_writes,total_demotions,raw_access_count,reactive_demotions,proactive_demotions,emergency_demotions,weighted_cost,weighted_cost_per_access,evidence_mode,evidence_status
standard__canneal__capd__seed-2026::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-2026,standard,canneal,capd,2026,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-2026::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-2026,standard,canneal,capd,2026,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-3136859::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-3136859,standard,canneal,capd,3136859,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-3136859::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-3136859,standard,canneal,capd,3136859,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-3136859::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-3136859,standard,canneal,capd,3136859,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-3136859::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-3136859,standard,canneal,capd,3136859,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-42::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-42,standard,canneal,capd,42,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-42::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-42,standard,canneal,capd,42,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-42::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-42,standard,canneal,capd,42,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-42::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-42,standard,canneal,capd,42,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__oracle::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__oracle,standard,canneal,oracle,N/A,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__oracle::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__oracle,standard,canneal,oracle,N/A,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__oracle::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__oracle,standard,canneal,oracle,N/A,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__oracle::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__oracle,standard,canneal,oracle,N/A,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_clock::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_clock,standard,canneal,proactive_clock,N/A,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_clock::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_clock,standard,canneal,proactive_clock,N/A,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_clock::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_clock,standard,canneal,proactive_clock,N/A,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_clock::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_clock,standard,canneal,proactive_clock,N/A,migration_expensive,1,2,8,20,598566,1,1433,1320,600000,0,1320,0,636432,1.06072,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_lru::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_lru,standard,canneal,proactive_lru,N/A,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_lru::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_lru,standard,canneal,proactive_lru,N/A,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
standard__canneal__proactive_lru::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__canneal__proactive_lru,standard,canneal,proactive_lru,N/A,write_expensive,1,2,12,10,598566,1,1433,1320,600000,0,1320,0,628964,1.0482733333333334,offline_raw_counter_recompute,candidate-ready
