average_free_frames,capacity_ratio,dram_hits,dram_pages,early_reuse_1024_count,early_reuse_1024_rate,early_reuse_256_count,early_reuse_256_rate,early_reuse_64_count,early_reuse_64_rate,emergency_demotions,fallback_rate,job_id,minimum_free_frames,nvm_reads,nvm_writes,policy,proactive_demotions,seed,semantic_result_sha256,total_demotions,wasted_demotion_count,weighted_cost,weighted_cost_per_access,workload,workload_role
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__tpp_inspired__seed-na,1129,5,19,tpp_inspired,0,,21c151c74f2f64b611bc408dd8753e25e5e147e0b6dde7bb271672a2ad5ee548,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__oracle__seed-na,1129,5,19,oracle,0,,39572bb11ce8c527145c9428a8e6d24dfbd561e82552d9f2a8c25c728fae780b,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__capd__seed-3136859,1129,5,19,capd,0,3136859,8ce60e4f26cc39bb00b3f5d218101831b8d9a84e44454d55287ecb38a602f99b,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__capd__seed-42,1129,5,19,capd,0,42,fad03dd7da76071dde1e62626a6114a1ea8759e42d286dd7a7c0d887e5bc3044,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__capd__seed-2026,1129,5,19,capd,0,2026,6f6315a12eeb437c1c54bef79fe79c5bf81ad5df1047ab3c2f3537d33c189091,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
69.20399833333333,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__reactive_lru__seed-na,0,4,267,reactive_lru,0,,d33f0df25603ce59b7b0dd468a8328b285d28704848d77614913376345ecf07a,74,0,602613,1.004355,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__proactive_lru__seed-na,7,4,267,proactive_lru,90,,04cb610ef9c58d5ae97c3be82e8dcdb4c1931f2176ee051585375b41830a8113,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__proactive_clock__seed-na,7,4,267,proactive_clock,90,,0b75eb4a8549d54a5c5a6e78d5e50a69261217cd5ba079757889a176c9d28dde,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__tpp_inspired__seed-na,7,4,267,tpp_inspired,90,,334d964340d482f198473671ea87f91d5d32aa44dd20124b4c6fbfd910a262dc,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__oracle__seed-na,7,4,267,oracle,90,,bc2cdba7de1e789430e97e642388f5347aa9609655034650c977a1f708e08208,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__capd__seed-3136859,7,4,267,capd,90,3136859,3e3f665415c0b4265c1b4fd0ef453457ee116528e9cb337134e5ec6de839c390,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__capd__seed-42,7,4,267,capd,90,42,6aa05a885f67b51fa908d21e718b2b1c1efacb347cfe35da3eadca2b14fe8b53,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
72.798765,0.20,599729,197,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r020__capd__seed-2026,7,4,267,capd,90,2026,daf45ad234d5f090918140c1db490d41e2998c1794fde7df2f032f31cadacf4d,90,90,602773,1.0046216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__reactive_lru__seed-na,122,4,267,reactive_lru,0,,1b766124a677037a49703989e5461c86d963964487a431f368341a7c99bdb375,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__proactive_lru__seed-na,122,4,267,proactive_lru,0,,057aec94f601d983cfd2bb7e07d2cfca4982e0d931ec0f322dfc0566fdc43dc5,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__proactive_clock__seed-na,122,4,267,proactive_clock,0,,704a1a84107052a7b7880b37ba76576de37b1dcba3472a6961f565d313f346ad,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__tpp_inspired__seed-na,122,4,267,tpp_inspired,0,,85ba7d95047cbfa4148ff2d4b3243636b7ae62251b8f7de3c8c1b3a4d5f6cff1,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__oracle__seed-na,122,4,267,oracle,0,,307a5a031360995a1187e191b4a2b2e89fd0ffed7b40a730d48b030e77970c5f,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__capd__seed-3136859,122,4,267,capd,0,3136859,679bbc605a7d265c5d050edafad6dad2c42a08f03512ef251c4aec6153fa6488,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__capd__seed-42,122,4,267,capd,0,42,908a46d644e1520631042d4130de18fbc14157055f2a7f21264208f4d000bf38,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
254.829805,0.40,599729,393,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r040__capd__seed-2026,122,4,267,capd,0,2026,717ada02d2f03101d288fd9e8e396e55a4367ed577eaa67a633bba399552eb48,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__reactive_lru__seed-na,319,4,267,reactive_lru,0,,75b7f46ae0daf73f6bcb2cd67273cd75380aa989e66d58fa943b1afa7fecb1e3,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__proactive_lru__seed-na,319,4,267,proactive_lru,0,,946e94784d6f2672bc0a3a992c27e40871d556cf3d371280d7bc89cfe47c397d,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__proactive_clock__seed-na,319,4,267,proactive_clock,0,,506a9e096f623384e116fd80162ba5be93898dd5329672051619803caf97fcc3,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__tpp_inspired__seed-na,319,4,267,tpp_inspired,0,,5e7cd8f5ac099ed45cc9e4e80be459c0ba484f34125343dd8c729538d11a0893,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__oracle__seed-na,319,4,267,oracle,0,,01764936575c57722da1b8dfe54f1ea250a75581a061f36dd72f879b8591bd1e,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__capd__seed-3136859,319,4,267,capd,0,3136859,2afd5386b4f774fcf2a9e73e85dda6f4e0bc11e915911b4cab78118f5985e553,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__capd__seed-42,319,4,267,capd,0,42,f919d2259f1e3057b6df3f37f29ef0a24828cb000812e50a92c58548709c83bf,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
451.829805,0.60,599729,590,0,0.0,0,0.0,0,0.0,0,0.0,dedup_pressure__r060__capd__seed-2026,319,4,267,capd,0,2026,90a41381f14f6d05f75071e11957fd591040c6b2f46e99769f4f14c3bdd99d6e,0,0,601873,1.0031216666666667,dedup_pressure,seen_calibration_workload
0.718665,0.20,599978,22,0,0.0,0,0.0,0,0.0,0,0.0,blackscholes__r020__reactive_lru__seed-na,0,19,3,reactive_lru,0,,d75979b5107e58ecfd29877a978507e1966ffa9b904e83d0d7547c9b81504fb2,0,0,600040,1.0000666666666667,blackscholes,held_out_unseen_workload
10.09684,0.20,585086,22,13728,0.9210950080515298,11304,0.7584541062801933,5398,0.3621846484165325,0,0.0,blackscholes__r020__proactive_lru__seed-na,7,13691,1223,proactive_lru,14904,,f1769b3e5fd6b0d0cd1096c1ae1f39f8080cd2a274f4dee0c85a9ee445f437e3,14904,12,771292,1.2854866666666667,blackscholes,held_out_unseen_workload
10.18041,0.20,585104,22,13709,0.9209324197232299,11118,0.7468762595727529,5337,0.3585247883917775,0,0.0,blackscholes__r020__proactive_clock__seed-na,7,13618,1278,proactive_clock,14886,,8f9a9200f4c52d45fada89102ebe4e4fbd5789165a162c360e80abf71a1d2bb5,14886,12,771424,1.2857066666666668,blackscholes,held_out_unseen_workload
10.09684,0.20,585086,22,13728,0.9210950080515298,11304,0.7584541062801933,5398,0.3621846484165325,0,0.0,blackscholes__r020__tpp_inspired__seed-na,7,13691,1223,tpp_inspired,14904,,de7b04aede651a6a46defa48112db7721997b7b5fa9ff22682d2b523eb293455,14904,12,771292,1.2854866666666667,blackscholes,held_out_unseen_workload
10.602451666666667,0.20,585946,22,12834,0.9141025641025641,9482,0.6753561253561253,4099,0.29195156695156693,0,0.0,blackscholes__r020__oracle__seed-na,7,13497,557,oracle,14040,,f9746598231d6833d95b4cdb5fd9ad33eded85f6a3d5aea412eb17d3b63ea2b0,14040,8,757796,1.2629933333333334,blackscholes,held_out_unseen_workload
10.024143333333333,0.20,585514,22,13266,0.9166666666666666,10765,0.7438501934770592,5945,0.41079325594250965,0,0.0,blackscholes__r020__capd__seed-3136859,7,14349,137,capd,14472,3136859,e61367453034c48622238d9f27f7214011b74cde48bca7bd6064688246d229ae,14472,8,760028,1.2667133333333334,blackscholes,held_out_unseen_workload
9.97819,0.20,585559,22,13223,0.9165453663270258,10745,0.744784085395439,5020,0.3479586885700423,0,0.0,blackscholes__r020__capd__seed-42,7,13830,611,capd,14427,42,2587aad51c02f926f9fc2c3cf881b0822ec7dd9ca464b40429d563b0b115dd38,14427,8,762377,1.2706283333333332,blackscholes,held_out_unseen_workload
